[2024-11-12 18:53:15,856] DEBUG - LocalScanner - MAC vendor database updated.
[2024-11-12 18:57:05,460] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 18:57:05,500] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:57:05,500] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:57:05,501] INFO - LocalScanner - Network scan completed.
[2024-11-12 18:57:35,502] INFO - LocalScanner - Initiating network scan.
[2024-11-12 18:57:35,503] INFO - LocalScanner - Starting local network scan.
[2024-11-12 18:57:35,503] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 18:57:35,595] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 18:57:35,597] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 18:57:35,635] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:57:35,635] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:57:35,635] INFO - LocalScanner - Network scan completed.
[2024-11-12 18:58:05,636] INFO - LocalScanner - Initiating network scan.
[2024-11-12 18:58:05,636] INFO - LocalScanner - Starting local network scan.
[2024-11-12 18:58:05,636] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 18:58:05,719] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 18:58:05,720] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 18:58:05,756] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:58:05,756] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:58:05,757] INFO - LocalScanner - Network scan completed.
[2024-11-12 18:58:35,757] INFO - LocalScanner - Initiating network scan.
[2024-11-12 18:58:35,757] INFO - LocalScanner - Starting local network scan.
[2024-11-12 18:58:35,757] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 18:58:35,813] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 18:58:35,814] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 18:58:35,838] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:58:35,840] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:58:35,840] INFO - LocalScanner - Network scan completed.
[2024-11-12 18:59:05,841] INFO - LocalScanner - Initiating network scan.
[2024-11-12 18:59:05,841] INFO - LocalScanner - Starting local network scan.
[2024-11-12 18:59:05,841] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 18:59:05,933] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 18:59:05,934] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 18:59:05,977] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:59:05,977] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:59:05,978] INFO - LocalScanner - Network scan completed.
[2024-11-12 18:59:35,978] INFO - LocalScanner - Initiating network scan.
[2024-11-12 18:59:35,978] INFO - LocalScanner - Starting local network scan.
[2024-11-12 18:59:35,978] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 18:59:36,057] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 18:59:36,057] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 18:59:36,087] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:59:36,087] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 18:59:36,087] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:00:06,090] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:00:06,090] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:00:06,090] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:00:06,191] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:00:06,191] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:00:06,237] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:00:06,238] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:00:06,238] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:00:36,239] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:00:36,239] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:00:36,239] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:00:36,378] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:00:36,386] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:00:36,449] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:00:36,449] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:00:36,449] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:01:06,450] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:01:06,450] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:01:06,450] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:01:06,561] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:01:06,561] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:01:06,594] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:01:06,594] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:01:06,594] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:01:36,635] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:01:36,636] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:01:36,636] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:01:36,728] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:01:36,729] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:01:36,774] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:01:36,775] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:01:36,775] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:02:06,781] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:02:06,781] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:02:06,781] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:02:06,890] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:02:06,891] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:02:06,942] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:02:06,942] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:02:06,942] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:02:36,952] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:02:36,952] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:02:36,952] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:02:37,091] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:02:37,092] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:02:37,143] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:02:37,143] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:02:37,144] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:03:07,145] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:03:07,145] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:03:07,145] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:03:07,202] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:03:07,202] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:03:07,229] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:03:07,230] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:03:07,230] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:03:37,231] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:03:37,231] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:03:37,231] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:03:37,312] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:03:37,313] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:03:37,350] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:03:37,351] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:03:37,351] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:04:07,360] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:04:07,360] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:04:07,360] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:04:07,521] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:04:07,522] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:04:07,569] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:04:07,569] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:04:07,570] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:04:37,570] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:04:37,570] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:04:37,570] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:04:37,635] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:04:37,635] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:04:37,666] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:04:37,667] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:04:37,667] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:05:07,668] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:05:07,668] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:05:07,668] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:05:07,779] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:05:07,780] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:05:07,833] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:05:07,833] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:05:07,833] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:05:37,846] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:05:37,846] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:05:37,846] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:05:37,952] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:05:37,952] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:05:37,994] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:05:37,994] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:05:37,994] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:06:07,997] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:06:07,997] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:06:07,997] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:06:08,097] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:06:08,097] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:06:08,132] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:06:08,132] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:06:08,138] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:06:38,138] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:06:38,138] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:06:38,139] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:06:38,212] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:06:38,212] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:06:38,238] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:06:38,239] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:06:38,239] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:07:08,240] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:07:08,240] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:07:08,240] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:07:08,328] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:07:08,328] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:07:08,364] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:07:08,365] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:07:08,365] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:07:38,373] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:07:38,374] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:07:38,374] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:07:38,460] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:07:38,460] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:07:38,514] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:07:38,515] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:07:38,515] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:08:08,529] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:08:08,529] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:08:08,529] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:08:08,680] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:08:08,681] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:08:08,722] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:08:08,723] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:08:08,723] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:08:38,725] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:08:38,725] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:08:38,725] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:08:38,796] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:08:38,796] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:08:38,827] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:08:38,827] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:08:38,828] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:09:08,828] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:09:08,829] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:09:08,829] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:09:08,996] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:09:08,996] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:09:09,060] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:09:09,060] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:09:09,060] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:09:39,064] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:09:39,064] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:09:39,065] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:09:39,150] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:09:39,150] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:09:39,185] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:09:39,185] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:09:39,186] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:10:09,187] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:10:09,187] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:10:09,187] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:10:09,274] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:10:09,275] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:10:09,309] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:10:09,310] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:10:09,310] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:10:39,310] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:10:39,310] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:10:39,311] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:10:39,371] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:10:39,372] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:10:39,399] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:10:39,400] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:10:39,400] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:11:09,405] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:11:09,407] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:11:09,407] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:11:09,502] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:11:09,502] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:11:09,550] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:11:09,550] ERROR - LocalScanner - An error occurred during the network scan: IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
[2024-11-12 19:11:09,551] INFO - LocalScanner - Network scan completed.
[2024-11-12 19:11:39,565] INFO - LocalScanner - Initiating network scan.
[2024-11-12 19:11:39,566] INFO - LocalScanner - Starting local network scan.
[2024-11-12 19:11:39,567] DEBUG - LocalScanner - Retrieving active network interfaces.
[2024-11-12 19:11:39,628] DEBUG - LocalScanner - Active interface found: Hyper-V Virtual Ethernet Adapter with IP 172.24.144.1 and netmask None
[2024-11-12 19:11:39,628] DEBUG - LocalScanner - Calculating network range for interface: Hyper-V Virtual Ethernet Adapter
[2024-11-12 19:11:39,656] ERROR - LocalScanner - IP address or netmask not found for interface Hyper-V Virtual Ethernet Adapter.
